"1"	"11"	"string"	"string"	"string"	"string"	"string"	"string"	"0"	"string"	"0"	"0"	"11"	"2019/1/11 15:14:02"	""	""	"11"	"2019/1/11 17:43:55"	"1"
"19"	"11"	"sadasdas"	"DefaultValue"	"DefaultValue"	"sadasdas"	"<p>dasdasd<br/></p>"	"2019-01-11T09:12:20.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:12:21"	""	""	"11"	"2019/1/11 17:43:32"	"1"
"20"	"11"	""	"DefaultValue"	"DefaultValue"	""	"<p>sdfsdf<br/></p>"	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:14:49"	""	""	"11"	"2019/1/11 17:43:11"	"1"
"21"	"11"	""	"DefaultValue"	"DefaultValue"	""	"<p>cvdsgf<br/></p>"	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:15:13"	""	""	"11"	"2019/1/11 17:42:25"	"1"
"22"	"11"	"234234"	"DefaultValue"	"DefaultValue"	"234234"	"<p>324<br/></p>"	"2019-01-11T09:17:47.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:17:49"	""	""	"11"	"2019/1/11 17:42:01"	"1"
"23"	"11"	"234234"	"DefaultValue"	"DefaultValue"	"234234"	"<p>234324324<br/></p>"	"2019-01-11T09:18:04.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:18:06"	""	""	"11"	"2019/1/11 17:40:43"	"1"
"24"	"11"	"交通运输行业周报：快递行业证券化加速"	"DefaultValue"	"DefaultValue"	"交通运输行业周报：快递行业证券化加速"	"<p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;""><strong>行业展望</strong></p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">经济增长方式转变，建议关注具有消费属性的航空、机场、铁路客运、公路和物流，回避生产属性较强的铁路货运、航运和港口。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">怡亚通(002183)、春秋航空(601021)、吉祥航空(603885)这类商业模式清晰、增长确定的细分行业龙头公司已经进入估值合理区间，在兑现业绩增长的过程中股价将企稳反弹。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">深圳机场(000089)深圳竞争力提升对公司发展最重要外部环境，同时公司将受益产能利用率提升、国际航线比例提升和机场收费改革。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">深高速(600548)所辖高速公路小汽车占比高，车流量稳定增长，政府持续回购推动公司资产估值，当前股价明显低估，同时公司实施了限制性股票激励，账面现金充裕，未来转型空间较大。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">广深铁路(601333)受益高铁票价市场化，铁路总公司已经获得高铁票价定价权，预计票价市场化已不远，热门线路的平均票价有望提升。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">电商连续高速增长带动快递业增长，同时快递公司具备广泛C端客户沉淀，未来发展空间巨大，建议买入外运发展，关注艾迪西和大杨创世。&nbsp;</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;""><strong>n推荐组合</strong></p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">怡亚通、外运发展、春秋航空、广深铁路、深高速、</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;""><strong>n风险提示</strong></p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">央企改革涉及面广，并且复杂，存在改革不达预期风险。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">美<a class=""linkBlue"" href=""http://simu.howbuy.com/lianchutouziyouxiangongsi/"" style=""text-decoration-line: none; color: rgb(92, 92, 92);"">联储</a>加息将导致人民币主动或被动贬值，美元负债成本提升，航空、航运公司利润将受损，我们判断美联储在一个季度内再度加息的概率较大。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">油价暴跌远超市场预期，当前油价已经维持较长时间低位，存在报复性反弹的风险。</p><p><br/></p>"	"2019-01-11T11:29:38.000Z"	"11"	"Default"	"0"	"100"	"11"	"2019/1/11 19:29:42"	""	""	""	""	"0"
"25"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/12 14:54:28"	""	""	"18"	"2019/1/22 09:12:48"	"1"
"26"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/12 18:15:32"	""	""	"18"	"2019/1/22 09:12:43"	"1"
"27"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:21:25"	""	""	"18"	"2019/1/22 09:12:39"	"1"
"28"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:32:03"	""	""	"18"	"2019/1/22 09:12:34"	"1"
"29"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:32:58"	""	""	"18"	"2019/1/22 09:12:10"	"1"
"30"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:34:43"	""	""	"18"	"2019/1/22 09:12:25"	"1"
"31"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:35:34"	""	""	"18"	"2019/1/22 09:12:21"	"1"
"32"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:37:10"	""	""	"18"	"2019/1/22 09:11:56"	"1"
"33"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:41:21"	""	""	"18"	"2019/1/22 09:11:59"	"1"
"34"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:44:18"	""	""	"18"	"2019/1/22 09:12:14"	"1"
"35"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:46:20"	""	""	"18"	"2019/1/22 09:12:04"	"1"
"36"	"11"	""	"DefaultValue"	"DefaultValue"	""	""	""	"11"	"Default"	"0"	"50"	"11"	"2019/1/14 09:47:41"	""	""	"18"	"2019/1/22 09:11:51"	"1"
"37"	"18"	"撒大声地"	"DefaultValue"	"DefaultValue"	"撒大声地"	"<p>啊实打实大声道<br/></p>"	"2019-01-18T00:48:56.000Z"	"18"	"Default"	"0"	"50"	"18"	"2019/1/18 08:48:59"	""	""	""	""	"0"
"38"	"18"	"11"	"DefaultValue"	"DefaultValue"	"11"	"<p>热过发<br/></p>"	"2019-01-01T16:00:00.000Z"	"18"	"Default"	"0"	"50"	"18"	"2019/1/21 10:37:38"	""	""	""	""	"0"
"39"	"18"	"AAA"	"DefaultValue"	"DefaultValue"	"AAA"	""	"2019-01-15T16:00:00.000Z"	"18"	"Default"	"0"	"50"	"18"	"2019/1/21 10:38:05"	""	""	"18"	"2019/1/22 15:14:54"	"1"
"40"	"18"	"CCC"	"DefaultValue"	"DefaultValue"	"CCC"	"<p>s<br/></p>"	"2019-01-07T16:00:00.000Z"	"18"	"Default"	"0"	"50"	"18"	"2019/1/22 09:11:45"	""	""	""	""	"0"
"41"	"18"	"AAA"	"DefaultValue"	"DefaultValue"	"AAA"	"<p>阿萨德撒打算<br/></p>"	""	"18"	"Default"	"0"	"50"	""	"0001/1/1 00:00:00"	"18"	"2019/1/23 14:37:54"	"18"	"2019/1/23 14:38:12"	"1"
"42"	"18"	""	"DefaultValue"	"DefaultValue"	"涩涩的色色的"	""	""	"18"	"Default"	"0"	"50"	""	"0001/1/1 00:00:00"	"18"	"2019/1/23 14:23:38"	""	""	"0"
"43"	"18"	"顶顶顶 "	"DefaultValue"	"DefaultValue"	"顶顶顶 "	"<p>的地方都是<br/></p>"	"2019-01-23T06:18:38.000Z"	"23"	"Default"	"0"	"50"	""	"0001/1/1 00:00:00"	"18"	"2019/1/23 14:19:03"	""	""	"0"
